No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
316,"Phenol, 10.0",9000000000.0,9.954242509,108-95-2,Oc1ccccc1,7,,  ,alcohol,Oxygenated organics
317,Phenolate,9600000000.0,9.982271233,31061-59-3,C1=CC=C(C=C1)[O-],,,https:// doi. org/ 10. 1021/ es101 0225,halogeneted,Halogenated organics
318,"p-Cresol, 10.3",18100000000.0,10.25767857,106-44-5,Cc1ccc(O)cc1,,,,benzene,Aromatic & PAHs
319,Nonylphenol,10000000000.0,10.0,84852-15-3,CCCCCCCCCC1=CC=CC=C1O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
320,Bisphenol A,18200000000.0,10.26007139,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alkane,Aliphatic hydrocarbons
321,Bisphenol A,14500000000.0,10.161368,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,7,,,alkane,Aliphatic hydrocarbons
322,"Tyrosine, 2.2, 9.1",11500000000.0,10.06069784,60-18-4,NC(Cc1ccc(O)cc1)C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 0c055 96,halogeneted,Halogenated organics
323,Catechol,28200000000.0,10.45024911,82869-32-7,C1=CC=C(C(=C1)O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,halogeneted,Halogenated organics
324,Resorcinol,14000000000.0,10.14612804,751455-55-7,C1=CC(=CC(=C1)O)O,7.5,,https:// doi. org/ 10. 1016/j. jhazm at. 2021. 126813,halogeneted,Halogenated organics
325,4-Methylcatechol,24900000000.0,10.39619935,1219803-18-5,CC1=CC(=C(C=C1)O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alkane,Aliphatic hydrocarbons
326,"Gallic acid, 4.5, 10.0",18300000000.0,10.26245109,149-91-7,O=C(C1=CC(O)=C(O)C(O)=C1)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,halogeneted,Halogenated organics
327,Pyrimidine,500000000.0,8.698970004,767-79-3,C1=CN=CN=C1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
328,Quinoline,12000000000.0,10.07918125,264920-37-8,C1=CC=C2C(=C1)C=CC=N2,,,https:// doi. org/ 10. 1021/ ja000 41a015,halogeneted,Halogenated organics
329,Cafeine,14600000000.0,10.16435286,95789-13-2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,7,,https://d oi.o rg/ 10. 1021/ acs. est. 6b022 87,halogeneted,Halogenated organics
330,Cafeine,38700000000.0,10.58771097,95789-13-2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,halogeneted,Halogenated organics
331,Xanthine,38100000000.0,10.58092498,69-89-6,C1=NC2=C(N1)C(=O)NC(=O)N2,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,halogeneted,Halogenated organics
332,Theophylline,39800000000.0,10.59988307,28384-81-8,CN1C2=C(C(=O)N(C1=O)C)NC=N2,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,halogeneted,Halogenated organics
333,DEET,3800000000.0,9.579783597,72236-23-8,CCN(CC)C(=O)C1=CC=CC(=C1)C,7,,https://d oi.o rg/ 10. 1021/ acs. est. 6b022 87,alkane,Aliphatic hydrocarbons
334,Mecoprop,10800000000.0,10.03342376,37341-10-9,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,7,,https:// doi. org/ 10. 1016/j. watres. 2020. 115784,alcohol,Oxygenated organics
335,Fluconazole,5500000000.0,9.740362689,1609495-95-5,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,7,,https:// doi. org/ 10. 1016/j. cej. 2020. 126224,halogeneted,Halogenated organics
336,Climbazole,63000000000.0,10.79934055,1185117-79-6,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,7,,https:// doi. org/ 10. 1016/j. cej. 2020. 126224,alcohol,Oxygenated organics
337,Atrazine,6870000000.0,9.836956737,163165-75-1,CCNC1=NC(=NC(=N1)Cl)NC(C)C,7,,https:// doi. org/ 10. 1016/j. watres. 2020. 115784,alkane,Aliphatic hydrocarbons
338,"Triclosan, 7.8–8.14",27600000000.0,10.44090908,3380-34-5,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
339,"6-Aminopenicillanic acid, 2.7",3400000000.0,9.531478917,551-16-6,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
340,"Amoxicilin, 2.6, 7.2",12700000000.0,10.10380372,26787-78-0,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
341,"Amoxicilin, 2.6, 7.2",7900000000.0,9.897627091,26787-78-0,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
342,"Penicillin G, 2.9",12500000000.0,10.09691001,61-33-6,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
343,"Penicillin V, 2.6",13100000000.0,10.1172713,1987/8/1,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
344,"7-Aminocephalosporanic acid, 2.6",11400000000.0,10.05690485,957-68-6,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N)C2SC1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
345,"Cefotaxime, 2.7",23000000000.0,10.36172784,63527-52-6,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
346,"Cephalexin, 2.6, 6.4",21700000000.0,10.33645973,15686-71-2,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
347,"Cefaclor, 1.6",15900000000.0,10.20139712,53994-73-3,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
348,"Ciprofoxacin, 6.1, 8.7",13900000000.0,10.1430148,85721-33-1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
349,"Enrofoxacin, 6.2, 7.6",15300000000.0,10.18469143,93106-60-6,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
350,"Ofoxacin, 5.7",15400000000.0,10.18752072,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
351,"Flumequine, 6.5",7700000000.0,9.886490725,42835-25-6,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
352,"Azithromycin, 8.6",7800000000.0,9.892094603,83905-01-5,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
353,"Azithromycin, 8.6",8300000000.0,9.919078092,83905-01-5,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
354,"Erythromycin, 8.9",6800000000.0,9.832508913,114-07-8,C[C@@H]([C@@H]([C@H](C(O[C@@H]([C@@]([C@H](O)[C@@H](C)C1=O)(C)O)CC)=O)C)O[C@H]2C[C@]([C@@H](O)[C@H](C)O2)(OC)C)[C@H]([C@](C)(O)C[C@H]1C)O[C@H](O[C@@H](C[C@@H]3N(C)C)C)[C@@H]3O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
355,"Erythromycin, 8.9",7000000000.0,9.84509804,114-07-8,C[C@@H]([C@@H]([C@H](C(O[C@@H]([C@@]([C@H](O)[C@@H](C)C1=O)(C)O)CC)=O)C)O[C@H]2C[C@]([C@@H](O)[C@H](C)O2)(OC)C)[C@H]([C@](C)(O)C[C@H]1C)O[C@H](O[C@@H](C[C@@H]3N(C)C)C)[C@@H]3O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
356,"Roxithromycin, 9.2",7200000000.0,9.857332496,80214-83-1,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
357,"Dimetridazole, 2.8",4200000000.0,9.62324929,551-92-8,Cc1ncc([N+](=O)[O-])n1C,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alkane,Aliphatic hydrocarbons
358,"Metronidazole, 2.6",5640000000.0,9.751279104,443-48-1,Cc1ncc([N+](=O)[O-])n1CCO,7,,https:// doi. org/ 10. 1016/j. chemo sphere. 2019. 02. 081,alkane,Aliphatic hydrocarbons
359,"Metronidazole, 2.6",3100000000.0,9.491361694,443-48-1,Cc1ncc([N+](=O)[O-])n1CCO,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alkane,Aliphatic hydrocarbons
360,"Sulfanilamide, 2.0, 5.3",31200000000.0,10.49415459,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
361,"Sulfadimethoxine, 2.9, 6.1",40800000000.0,10.61066016,122-11-2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
362,"Sulfadiazine, 2.1, 6.4",33500000000.0,10.52504481,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
363,"Sulfamethazine, 2.6, 7.4",32100000000.0,10.50650503,57-68-1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
364,"Sulfamethoxazole, 1.6, 5.7",5400000000.0,9.73239376,723-46-6,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,,,https:// doi. org/ 10. 1007/ s11356- 017- 0461-9,benzene,Aromatic & PAHs
365,"Sulfamethoxazole, 1.6, 5.7",34000000000.0,10.53147892,723-46-6,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b007 49,benzene,Aromatic & PAHs
366,"Sulfamethoxazole, 1.6, 5.7",36400000000.0,10.56110138,723-46-6,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
367,"Sulfathiazole, 2.2, 7.2",37800000000.0,10.5774918,72-14-0,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
368,"Sulfapyridine, 8.43",8790000000.0,9.943988875,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,5,,https:// doi. org/ 10. 1021/ acs. iecr. 9b062 28,cyclo,Aromatic & PAHs
369,2-Phenylbenzimidazole-5-sulfonic acid,15000000000.0,10.17609126,158099-19-5,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O,7,,https:// doi. org/ 10. 1016/j. cej. 2021. 132684,"sulfide, disulfide",Sulfur-containing organics
370,"Oxytetracycline, 3.1, 7.4, 8.9",23600000000.0,10.372912,79-57-2,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
371,"Tetracycline, 3.32, 7.78, 9.58",19800000000.0,10.29666519,60-54-8,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
372,"Trimethoprim, 3.2, 7.12",19000000000.0,10.2787536,738-70-5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,https:// doi. org/ 10. 1016/j. watres. 2016. 08. 011,diol,Polyfunctional / highly functionalized
373,"Trimethoprim, 3.2, 7.12",21100000000.0,10.32428246,738-70-5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
374,"Trimethoprim, 3.2, 7.12",16900000000.0,10.2278867,738-70-5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
375,"Trimethoprim, diion",6520000000.0,9.814247596,738-70-5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,https:// doi. org/ 10. 3390/ w1312 1656,diol,Polyfunctional / highly functionalized
376,"Trimethoprim, monoion",3090000000.0,9.489958479,738-70-5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,https:// doi. org/ 10. 3390/ w1312 1656,diol,Polyfunctional / highly functionalized
377,"Trimethoprim, neutral",7760000000.0,9.889861721,738-70-5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,https:// doi. org/ 10. 3390/ w1312 1656,diol,Polyfunctional / highly functionalized
378,"Acetaminophen (paracetamol), 9.4",37100000000.0,10.56937391,103-90-2,CC(=O)Nc1ccc(O)cc1,5.5,,https:// doi. org/ 10. 15625/ 2525- 2321. 2017- 00532,benzene,Aromatic & PAHs
379,"Acetaminophen (paracetamol), 9.4",13300000000.0,10.12385164,103-90-2,CC(=O)Nc1ccc(O)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
380,"Acetaminophen (paracetamol), 9.4",12400000000.0,10.09342169,103-90-2,CC(=O)Nc1ccc(O)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
381,"Acetaminophen (paracetamol), 9.4",10800000000.0,10.03342376,103-90-2,CC(=O)Nc1ccc(O)cc1,7,,https:// doi. org/ 10. 1016/j. cej. 2019. 122339,benzene,Aromatic & PAHs
382,"Acetaminophen (paracetamol), 9.4",2610000000.0,9.416640507,103-90-2,CC(=O)Nc1ccc(O)cc1,,,https:// doi. org/ 10. 1016/j. watres. 2021. 116938,benzene,Aromatic & PAHs
383,"Aspirin, 3.4",6800000000.0,9.832508913,50-78-2,CC(=O)Oc1ccccc1C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
384,"Mesalazine, 2.7, 5.8",22300000000.0,10.34830486,89-57-6,Nc1ccc(O)c(C(=O)O)c1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
385,"Ibuprofen, 4.9",27700000000.0,10.44247977,15687-27-1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
386,"Ibuprofen, 4.9",13000000000.0,10.11394335,15687-27-1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3.9,,https:// doi. org/ 10. 1021/ acs. est. 9b012 12,cyclo,Aromatic & PAHs
387,"Naproxen, 4.2",20100000000.0,10.30319606,22204-53-1,COc1ccc2cc(C(C)C(=O)O)ccc2c1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
388,"Naproxen, 4.2",27000000000.0,10.43136376,22204-53-1,COc1ccc2cc(C(C)C(=O)O)ccc2c1,3.9,,https:// doi. org/ 10. 1021/ acs. est. 9b012 12,alcohol,Oxygenated organics
389,"Naproxen, 4.2",4900000000.0,9.69019608,22204-53-1,COc1ccc2cc(C(C)C(=O)O)ccc2c1,,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
390,"Diclofenac, 4.15",37700000000.0,10.57634135,15307-86-5,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
391,"Atenolol, 9.5",1120000000.0,9.049218023,29122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,5.8,,https:// doi. org/ 10. 1021/ acs. est. 9b030 62,alcohol,Oxygenated organics
392,"Atenolol, 9.5",22900000000.0,10.35983548,29122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
393,Metoprolol,17100000000.0,10.23299611,959786-79-9,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
394,"Cimetidine, 7.1",4300000000.0,9.633468456,51481-61-9,CN=C(NC#N)NCCSCc1nc[nH]c1C,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
395,"Famotidine, 1.8, 6.8",17200000000.0,10.23552845,76824-35-6,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
396,"Carbamazepine, 13.9",56000000000.0,10.74818803,298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21,7,,https:// doi. org/ 10. 1016/j. watres. 2016. 04. 015,benzene,Aromatic & PAHs
397,"Carbamazepine, 13.9",3700000000.0,9.568201724,298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21,,,https://d oi.o rg/1 0. 1039/ C6EW0 0242K,benzene,Aromatic & PAHs
398,"Carbamazepine, 13.9",37000000000.0,10.56820172,298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21,7,,https:// doi. org/ 10. 1021/ acs. est. 9b007 49,benzene,Aromatic & PAHs
399,"Carbamazepine, 13.9",33000000000.0,10.51851394,298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
400,"Carbamazepine, 13.9",1840000000.0,9.264817823,298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21,,,https://d oi.o rg/1 0.1 016/j.c hemos phere. 2021. 130499,benzene,Aromatic & PAHs
401,"Clofbric acid, 3.18",97600000000.0,10.98944982,882-09-7,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,7,,https:// doi. org/ 10. 1016/j. cej. 2017. 08. 117,alkane,Aliphatic hydrocarbons
402,"Clofbric acid, 3.18",5500000000.0,9.740362689,882-09-7,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alkane,Aliphatic hydrocarbons
403,"Bezafbrate, 3.6",500000000.0,8.698970004,41859-67-0,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,,,https:// doi. org/ 10. 1007/ s11356- 017- 0461-9,benzene,Aromatic & PAHs
404,"Bezafbrate, 3.6",10400000000.0,10.01703334,41859-67-0,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
405,"Gemfbrozil, 4.5",21400000000.0,10.33041377,25812-30-0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
406,"Gemfbrozil, 4.5",1200000000.0,9.079181246,25812-30-0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,,,https:// doi. org/ 10. 1016/j. watres. 2021. 117445,cyclo,Aromatic & PAHs
407,"Gemfbrozil, 4.5",14000000000.0,10.14612804,25812-30-0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,7,,https:// doi. org/ 10. 1016/j. watres. 2021. 117944,cyclo,Aromatic & PAHs
408,"Primidone, 12.3",6200000000.0,9.792391689,125-33-7,CCC1(c2ccccc2)C(=O)NCNC1=O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
409,"Primidone, 12.3",31900000000.0,10.50379068,125-33-7,CCC1(c2ccccc2)C(=O)NCNC1=O,5,,https:// doi. org/ 10. 1016/j. watres. 2019. 115463,cyclo,Aromatic & PAHs
410,"Iopromide, 10.6",27500000000.0,10.43933269,73334-07-3,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
411,"Iohexol, 11.7",1180000000000.0,12.07188201,66108-95-0,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,,,https:// doi. org/ 10. 1016/j. cej. 2019. 02. 120,diol,Polyfunctional / highly functionalized
412,"Microcystein-LR, 3.0",22500000000.0,10.35218252,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,3.9,,. https://d oi. org/ 10. 1016/j. watres. 2019. 05. 030,diol,Polyfunctional / highly functionalized
413,"Estrone (E1), 10.7",20600000000.0,10.31386722,53-16-7,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
414,"Estradiol (E2), 10.4",16000000000.0,10.20411998,50-28-2,OC1=CC2=C(C=C1)[C@]3([H])[C@@]([C@@](CC[C@@H]4O)([H])[C@]4(C)CC3)([H])CC2,,,https://d oi.o rg/1 0. 1039/ C6EW0 0242K,alcohol,Oxygenated organics
415,"Estradiol (E2), 10.4",8000000000.0,9.903089987,50-28-2,OC1=CC2=C(C=C1)[C@]3([H])[C@@]([C@@](CC[C@@H]4O)([H])[C@]4(C)CC3)([H])CC2,7,,https:// doi. org/ 10. 1021/ acs. est. 9b007 49,alcohol,Oxygenated organics
416,"Estradiol (E2), 10.4",20100000000.0,10.30319606,50-28-2,OC1=CC2=C(C=C1)[C@]3([H])[C@@]([C@@](CC[C@@H]4O)([H])[C@]4(C)CC3)([H])CC2,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
417,"Ethinyl estradiol (EE2), 10.7",2100000000.0,9.322219295,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,7,,https:// doi. org/ 10. 1021/ acs. est. 9b007 49,cyclo,Aromatic & PAHs
418,"Ethinyl estradiol (EE2), 10.7",25600000000.0,10.40823997,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,cyclo,Aromatic & PAHs
419,"Methylparaben, 8.3",15200000000.0,10.18184359,99-76-3,COC(=O)c1ccc(O)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
420,"Sucralose, 12.5",11100000000.0,10.04532298,56038-13-2,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
421,Humic acid,30000000000.0,10.47712125,,OC1=CC=C(C=C1)C(=O)O.C1=CC(OC)=C(C=C1)C(=O)O.C1=CC(=O)C2=C(C1)C=CC(=C2O)C(=O)O,4,,https:// doi. org/ 10. 1111/j. 1751- 1097. 2007. 00087.x,diol,Polyfunctional / highly functionalized
