No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
194,hypochlorite,8200000000.0,9.913813852,14380-61-1,[O-]Cl,,,NIST,halogeneted,Halogenated organics
195,Hydroxyl anion,18000000000.0,10.25527251,14280-30-9,[OH-],,,NIST,alcohol,Oxygenated organics
196,Tetrachloroethylene,280000000.0,8.447158031,127-18-4,C(=C(Cl)Cl)(Cl)Cl,,,NIST,alkane,Aliphatic hydrocarbons
197,Fumaric Acid,3000000000.0,9.477121255,110-17-8,C(=C/C(=O)O)\C(=O)O,,,NIST,halogeneted,Halogenated organics
198,H2O,160000.0,5.204119983,19215-29-3,O,,,https://d oi.o rg/ 10. 1002/ bbpc. 19850 890309,alcohol,Oxygenated organics
199,H2O,2500000000.0,9.397940009,19215-29-3,O,,,https://d oi.o rg/1 0.1 021/j 10036 9a044 ,alcohol,Oxygenated organics
200,H2O,250000.0,5.397940009,19215-29-3,O,,,https:// doi. org/ 10. 1039/ A7073 77A,alcohol,Oxygenated organics
201,H2O,160000.0,5.204119983,19215-29-3,O,,,https:// doi. org/ 10. 1021/ jp036 211i,alcohol,Oxygenated organics
202,Cl -,21000000000.0,10.32221929,1361497-78-0,Cl⁻,,,https:// doi. org/ 10. 1039/ F1973 69015 97,halogeneted,Halogenated organics
203,Cl -,6500000000.0,9.812913357,1361497-78-0,Cl⁻,,,https://d oi.o rg/ 10. 1002/ bbpc. 19850 890309,halogeneted,Halogenated organics
204,Cl -,8000000000.0,9.903089987,1361497-78-0,Cl⁻,,,https:// doi. org/ 10. 1021/ j1002 57a037,halogeneted,Halogenated organics
205,Cl -,8500000000.0,9.929418926,1361497-78-0,Cl⁻,,,https:// doi. org/ 10. 1039/ A7073 77A,halogeneted,Halogenated organics
206,Cl -,7800000000.0,9.892094603,1361497-78-0,Cl⁻,,,https://d oi.o rg/1 0.1 021/j p0266 648 ,halogeneted,Halogenated organics
207,HOCl,2000000000.0,9.301029996,71606-47-8,OCl,,,https:// doi. org/ 10. 1021/ j1006 47a006,alcohol,Oxygenated organics
208,HOCl,3000000000.0,9.477121255,71606-47-8,OCl,,,https://d oi.o rg/ 10. 1002/ bbpc. 19850 890309,alcohol,Oxygenated organics
209,ClO–,8200000000.0,9.913813852,14989-30-1,ClO-,,,https://d oi.o rg/ 10. 1002/ bbpc. 19850 890309,halogeneted,Halogenated organics
210,ClO3 –,500000000.0,8.698970004,13932-10-0,[Cl+5](=O)(O)[O-],,,https:// doi. org/ 10. 1039/ A9071 33D,halogeneted,Halogenated organics
211,OH–,18000000000.0,10.25527251,211430-99-8,[OH-],,,https://d oi.o rg/ 10. 1002/ bbpc. 19850 890309,alcohol,Oxygenated organics
212,HSO3 –,2800000000.0,9.447158031,15457-98-4,	[H+][S+4](=O)(O)[O-],,,https:// doi. org/ 10. 1039/ A9071 33D,"sulfide, disulfide",Sulfur-containing organics
