No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
92,"1,3,5-Benzenetricarboxylic acid",7.919078092,554-95-0,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,9,,NIST,diol,Polyfunctional / highly functionalized
93,"1,3,5-Triazine",7.908485019,10556-98-6,C1=NC=NC=N1,,,https://doi.org/10.1021/acs.est.1c04326,halogeneted,Halogenated organics
94,"1,3,5-Trimethoxy-benzene",8.255272505,591228-81-8,COc1cccc(OC)c1OC,,25.0,10.1063/1.555808,diol,Polyfunctional / highly functionalized
95,"1,3,5-Trimethoxybenzene",9.380211242,1015-96-9,COc1cc(OC)cc(OC)c1,7.8,,https://doi.org/10.1021/j100495a028,alcohol,Oxygenated organics
96,"1,3,5-Trimethoxybenzene",9.255272505,621-23-8,COc1cc(OC)cc(OC)c1,7,,10.1021/acs.est.5b03078,alcohol,Oxygenated organics
97,"1,3,5-Trimethoxybenzene",9.322219295,79173-14-1,COc1cc(OC)cc(OC)c1,,,https://doi.org/10.1021/acs.est.1c04326,alcohol,Oxygenated organics
98,"1,3,5-Trimethoxybenzene",9.255272505,621-23-8,COC1=CC(=CC(=C1)OC)OC,>4,,https://doi.org/10.1021/j100592a013,diol,Polyfunctional / highly functionalized
99,"1,3,5-Trimethylbenzene",9.113943352,1274-07-3,Cc1cc(C)cc(C)c1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
100,"1,3,5-Trimethylbenzene",9.1139,108-67-8,CC1=CC(=CC(=C1)C)C,,,https://doi.org/10.1016/j.jhazmat.2025.137995,alkane,Aliphatic hydrocarbons
101,"1,3,5-trimethoxy-benzene",9.255272505,621-23-8,COc1cc(OC)cc(OC)c1,7,20.0,10.1021/acs.est.5b03078,alcohol,Oxygenated organics
102,"1,3,5-trimethoxy-benzene",9.415,621-23-8,COC1=CC(=CC(=C1)OC)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138880,diol,Polyfunctional / highly functionalized
103,"1,3,6-Me3U",9.698970004,13509-52-9,O=C(N1C)C=C(C)N(C)C1=O,,,NIST,halogeneted,Halogenated organics
104,"1,3,6-Me3U",9.544068044,13509-52-9,O=C(N1C)C=C(C)N(C)C1=O,,,NIST,halogeneted,Halogenated organics
