No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
522,anthranilic acid,30000.0,4.48,200126-77-8,Nc1ccccc1C(O)=O,,,"(Deborde and von Gunten, 2008)",benzene,Aromatic & PAHs
523,mefenamic acid,8.2,0.91,1397200-83-7,Cc1cccc(Nc2ccccc2C(O)=O)c1C,,,"(Khalit and Tay, 2016)",cyclo,Aromatic & PAHs
524,Ciprofloxacin,760000.0,5.88,93398-92-6,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,,,"(Deborde and von Gunten, 2008)",alcohol,Oxygenated organics
525,Enrofloxacin,510.0,2.71,1219795-24-0,CCN1CCN(CC1)c2cc3N(C=C(C(O)=O)C(=O)c3cc2F)C4CC4,,,"(Deborde and von Gunten, 2008)",cyclo,Aromatic & PAHs
526,tolfenamic acid,0.3,-0.52,1420043-61-3,Cc1c(Cl)cccc1Nc2ccccc2C(O)=O,,,"(Mansor, 2018)",benzene,Aromatic & PAHs
527,clofenamic acid,308.3,2.49,4295-55-0,OC(=O)c1ccccc1Nc2cccc(Cl)c2Cl,,,"(Ma et al., 2017)",alcohol,Oxygenated organics
528,Indometacine,57.0,1.76,53-86-1,COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3,,,"(Deborde and von Gunten, 2008)",alcohol,Oxygenated organics
529,Gemfibrozil,0.9,-0.05,86837-66-3,Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,,,"(Deborde and von Gunten, 2008)",cyclo,Aromatic & PAHs
530,Naproxen,2.5,0.4,119166-66-4,COc1ccc2cc(ccc2c1)C(C)C(O)=O,,,"(Deborde and von Gunten, 2008)",alcohol,Oxygenated organics
531,trotox,1300.0,3.11,94-81-5,Cc1cc(Cl)ccc1OCCCC(O)=O,,,"(Pattison et al., 2003)",alcohol,Oxygenated organics
