No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1042,NO2-,5.698970004,14797-65-0,N(=O)[O-],1~4,,NIST,amine,Nitrogen-containing organics
1043,NO2-,5.568201724,14797-65-0,N(=O)[O-],,,NIST,amine,Nitrogen-containing organics
1044,NO2-,5.51851394,14797-65-0,N(=O)[O-],4,,NIST,amine,Nitrogen-containing organics
1045,NO2-,5.204119983,14797-65-0,N(=O)[O-],5.9,,NIST,amine,Nitrogen-containing organics
1046,NO3-,-4.0,14797-55-8,[N+](=O)([O-])[O-],2,,NIST,amine,Nitrogen-containing organics
1047,NTA3-,1.919078092,28528-44-1,N(CC(=O)[O-])(CC(=O)[O-])CC(=O)[O-],2,,NIST,diol,Polyfunctional / highly functionalized
1048,Naphthalene,3.477121255,91-20-3,C1=CC=C2C=CC=CC2=C1,2,,NIST,cyclo,Aromatic & PAHs
1049,Naphthalene,3.477121255,91-20-3,C1=CC=C2C=CC=CC2=C1,2,,https://doi.org/10.1016/0043-1354(83)90098-2,cyclo,Aromatic & PAHs
1050,Naphthalene,2.939519253,91-20-3,C1=CC=C2C=CC=CC2=C1,3,,NIST,cyclo,Aromatic & PAHs
1051,Naphthalene,3.176091259,91-20-3,C1=CC=C2C=CC=CC2=C1,5.6,,NIST,cyclo,Aromatic & PAHs
1052,Naphthalene,3.51851394,91-20-3,C1=CC=C2C=CC=CC2=C1,5.6,,NIST,cyclo,Aromatic & PAHs
1053,Naphthalene,3.579783597,91-20-3,C1=CC=C2C=CC=CC2=C1,7,,NIST,cyclo,Aromatic & PAHs
1054,Naphthalene-1-sulfonic acid,2.048441804,39363-79-6,C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)O,,,doi.org/10.1016/j.watres.2012.06.006,"sulfide, disulfide",Sulfur-containing organics
1055,Nitrobenzene,-0.57954,89059-37-0,O=[N+]([O-])c1ccccc1,2,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs
1056,Nitrobenzene,-1.05,89059-37-0,O=[N+]([O-])c1ccccc1,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs
