No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Pubchem_cid,Chemical_class_27,Chemical_class_coarse
778,Merocyanine 540,9.650307523,62796-23-0,CCCCN1C(=O)C(=CC=CC=C2N(C3=CC=CC=C3O2)CCCS(=O)(=O)[O-])C(=O)N(C1=S)CCCC.[Na+],,,NIST,4072.0,"sulfide, disulfide",Sulfur-containing organics
779,Merocyanine 540,9.765668555,62796-23-0,CCCCN1C(=O)C(=CC=CC=C2N(C3=CC=CC=C3O2)CCCS(=O)(=O)[O-])C(=O)N(C1=S)CCCC.[Na+],,,NIST,4072.0,"sulfide, disulfide",Sulfur-containing organics
780,Merocyanine 540,7.477121255,62796-23-0,CCCCN1C(=O)C(=CC=CC=C2N(C3=CC=CC=C3O2)CCCS(=O)(=O)[O-])C(=O)N(C1=S)CCCC.[Na+],,,NIST,4072.0,"sulfide, disulfide",Sulfur-containing organics
781,Merocyanine 540,7.968015714,62796-23-0,CCCCN1C(=O)C(=CC=CC=C2N(C3=CC=CC=C3O2)CCCS(=O)(=O)[O-])C(=O)N(C1=S)CCCC.[Na+],,,NIST,4072.0,"sulfide, disulfide",Sulfur-containing organics
782,dimethylcarbene,8.041392685,40852-89-9,,7,,NIST,,amine,Nitrogen-containing organics
783,Pentachlorophenoxide ion,7.971275849,46012-02-6,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[O-],,,NIST,4269236.0,halogeneted,Halogenated organics
784,Rose Bengal dianion,7.176091259,632-69-9,C1=C2C(=C3C=C(C(=O)C(=C3OC2=C(C(=C1I)[O-])I)I)I)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C(=O)[O-].[K+].[K+],,,NIST,25473.0,halogeneted,Halogenated organics
785,6-(Flucycline) luciferin,7.903089987,102557-34-4,,7.1,,NIST,,amine,Nitrogen-containing organics
786,"2-Methyl-6-phenylimidazo[1,2-a]pyrazin-3-one",9.46834733,,,5.4,,NIST,,phosphorus,Phosphorus-containing organics
787,"2-Methyl-6-phenylimidazo[1,2-a]pyrazin-3-one",8.799340549,,,7.1,,NIST,,phosphorus,Phosphorus-containing organics
788,DNA,5.707570176,,,7,,NIST,,amine,Nitrogen-containing organics
789,DNA,6.361727836,,,10.5,,NIST,,amine,Nitrogen-containing organics
790,DNA,6.361727836,,,10.5,,NIST,,amine,Nitrogen-containing organics
791,Flavocytochrome b2 (Fe3+),8.146128036,6-(Flucycline) luciferin,,7.4,,NIST,,halogeneted,Halogenated organics
792,Lysozyme,8.643452676,12650-88-3,CCC(C)C(C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C5CCCN5C(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(CCCNC(=N)N)N,5.9,,NIST,91976556.0,alkane,Aliphatic hydrocarbons
793,Lysozyme,8.113943352,12650-88-3,CCC(C)C(C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C5CCCN5C(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(CCCNC(=N)N)N,,,NIST,91976556.0,alkane,Aliphatic hydrocarbons
794,Cytochrome C oxidase,8.0,9001-16-5,,7.4,,NIST,,"sulfide, disulfide",Sulfur-containing organics
795,Glycyl-methionine,7.176091259,39630-47-2,,,,NIST,,amine,Nitrogen-containing organics
796,Glycyl-methionine,7.954242509,39630-47-2,,7,,NIST,,amine,Nitrogen-containing organics
797,Glycyl-methionine,6.176091259,39630-47-2,,,,NIST,,amine,Nitrogen-containing organics
798,Glycyl-methionine,7.113943352,39630-47-2,,7,,NIST,,amine,Nitrogen-containing organics
799,Tryptophylglycine,7.51851394,7360-09-0,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)NCC(=O)O)N,7,,NIST,97054.0,halogeneted,Halogenated organics
800,indole-3-propionic acid,7.86332286,830-96-6,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,7,,NIST,3744.0,halogeneted,Halogenated organics
801,Ferrocytochrome C,8.748188027,	9007-43-6,CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)CCC(=O)O)CCC(=O)O.[Fe+2],7.4,,NIST,16057918.0,"sulfide, disulfide",Sulfur-containing organics
802,9-anthroic acid,7.301029996,71-48-7,CC(=O)[O-].CC(=O)[O-].[Co+2],,,NIST,6277.0,diol,Polyfunctional / highly functionalized
803,4-(2-Pyridyl-N-oxide)-N-tert-butylnitrone,8.079181246,3376-24-7,CC(C)(C)[N+](=CC1=CC=CC=C1)[O-],,,NIST,4390.0,alkane,Aliphatic hydrocarbons
804,Indole-3-acetate ion,9.0,93672-51-6,C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-],7,,NIST,801.0,halogeneted,Halogenated organics
805,Indole-3-acetate ion,7.963787827,93672-51-6,C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-],7,,NIST,801.0,halogeneted,Halogenated organics
806,Glycyl-histidine,7.579783597,2489-13-6,C1=NC=NC1C[C@@H](C(=O)O)NC(=O)CN,,,NIST,142774.0,cyclo,Aromatic & PAHs
807,Glycyl-histidine,8.361727836,2489-13-6,C1=NC=NC1C[C@@H](C(=O)O)NC(=O)CN,7,,NIST,142774.0,cyclo,Aromatic & PAHs
808,Glycyl-histidine,6.963787827,2489-13-6,C1=NC=NC1C[C@@H](C(=O)O)NC(=O)CN,,,NIST,142774.0,cyclo,Aromatic & PAHs
809,Glycyl-histidine,7.919078092,2489-13-6,C1=NC=NC1C[C@@H](C(=O)O)NC(=O)CN,7,,NIST,142774.0,cyclo,Aromatic & PAHs
810,Ascorbate ion,6.919078092,299-36-5,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,6.8,,NIST,275784.0,diol,Polyfunctional / highly functionalized
811,Glycyltryptophan,8.301029996,2390-74-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)NC(=O)CN,7,,NIST,92181.0,halogeneted,Halogenated organics
812,Glycyltryptophan,7.707570176,2390-74-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)NC(=O)CN,7,,NIST,92181.0,halogeneted,Halogenated organics
813,4-Hydroxyacetophenone,6.176091259,99-93-4,CC(=O)C1=CC=C(C=C1)O,,,NIST,7469.0,alkane,Aliphatic hydrocarbons
814,4-tert-Butylphenol,6.0,98-54-4,CC(C)(C)C1=CC=C(C=C1)O,,,NIST,7393.0,alkane,Aliphatic hydrocarbons
815,Furfuryl alcohol,8.146128036,98-00-0,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],,,NIST,4130.0,diol,Polyfunctional / highly functionalized
816,2-Chlorophenol,6.963787827,95-57-8,C1=CC=C(C(=C1)O)Cl,,,NIST,7245.0,halogeneted,Halogenated organics
817,"3,6-Diaminoacridine",8.84509804,92-62-6,C(C1C(C(C(C(O1)O)O)O)O)O,5.9,,NIST,206.0,diol,Polyfunctional / highly functionalized
818,"2,6-Dimethoxyphenol",7.556302501,1991/10/1,COC1=C(C(=CC=C1)OC)O,,,NIST,7041.0,diol,Polyfunctional / highly functionalized
819,"Copper,Zinc Superoxide Dismutase",9.436162647,9054-89-1,CC(CBr)O,7.1,,NIST,29740.0,alkane,Aliphatic hydrocarbons
820,2'-Deoxyguanosine 5'-monophosphate,6.72427587,902-04-5,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,7,,NIST,12599.0,diol,Polyfunctional / highly functionalized
821,2'-Deoxyguanosine 5'-monophosphate,7.755874856,902-04-5,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,10.5,,NIST,12599.0,diol,Polyfunctional / highly functionalized
822,2'-Deoxyguanosine 5'-monophosphate,7.755874856,902-04-5,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,10.5,,NIST,12599.0,diol,Polyfunctional / highly functionalized
823,2-Methoxyphenol,6.77815125,1990/5/1,COC1=CC=CC=C1O,,,NIST,460.0,alcohol,Oxygenated organics
824,Pentachlorophenol,5.301029996,87-86-5,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,,,NIST,992.0,halogeneted,Halogenated organics
825,Acriflavine cation,8.954242509,8063-24-9,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N,5.9,,NIST,2016.0,halogeneted,Halogenated organics
826,Hydrazoic acid,6.301029996,7783-63-3,F[Ti](F)(F)F,1.9,,NIST,121824.0,halogeneted,Halogenated organics
827,4-Cyanophenol,5.380211242,767-00-0,C1=CC(=CC=C1C#N)O,,,NIST,13019.0,halogeneted,Halogenated organics
