No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1179,"4,6-dihydroxypyrimidine",9.9,15726-40-6,O=c1cc(O)nc[nH]1,9.2,25.0,NIST,halogeneted,Halogenated organics
1180,"4,7,13,16,21,24-Hexaoxa-1,10-diazabicyclo[8.8.8]hexacosane",9.77,64066-14-4,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,7.0,25.0,Zhong et al.,diol,Polyfunctional / highly functionalized
1181,"4,7,13,16,21,24-Hexaoxa-1,10-diazabicyclo[8.8.8]hexacosane",9.770852012,64066-14-4,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,,,https://doi.org/10.1021/acs.est.1c04775,diol,Polyfunctional / highly functionalized
1182,"4,7,13,16,21-Pentaoxa-1,10-diazabicyclo[8.8.5]tricosane",9.71,62751-48-8,C1COCCN2CCOCCOCCN(CCO1)CCOCC2,7.0,25.0,Zhong et al.,diol,Polyfunctional / highly functionalized
1183,"4,7,13,16,21-Pentaoxa-1,10-diazabicyclo[8.8.5]tricosane",9.7084209,62751-48-8,C1COCCN2CCOCCOCCN(CCO1)CCOCC2,,,https://doi.org/10.1021/acs.est.1c04639,diol,Polyfunctional / highly functionalized
1184,"4-(1,1-dimethylethyl)-1,2-dihydroxybenzene",9.89,334974-04-8,CC(C)(C)c1ccc(O)c(O)c1,10.5,25.0,NIST,benzene,Aromatic & PAHs
1185,"4-(1,1-dimethylethyl)-1,2-dihydroxybenzene",9.88,334974-04-8,CC(C)(C)c1ccc(O)c(O)c1,7.0,25.0,NIST,benzene,Aromatic & PAHs
1186,"4-(1,2-Dihydroxyethyl)-1,2-benzenediol",10.20411998,64998-12-5,OCC(O)c1ccc(O)c(O)c1,,,https://doi.org/10.1021/acs.est.1c05191,alcohol,Oxygenated organics
1187,"4-(1,2-dihydroxyethyl)-1,2-benzenediol",10.2,64998-12-5,OCC(O)c1ccc(O)c(O)c1,7.0,25.0,NIST,alcohol,Oxygenated organics
1188,4-(1-hydroxyethyl)-benzonitrile,9.4,182964-49-4,CC(O)c1ccc(C#N)cc1,1.8,25.0,NIST,benzene,Aromatic & PAHs
