No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1065,3-Ethylpentane,9.770852012,128399-47-3,CCC(CC)CC,,,https://doi.org/10.1021/acs.est.1c05586,alkane,Aliphatic hydrocarbons
1066,3-Hexen-1-ol,9.869818208,139164-92-4,CCC=CCCO,,,https://doi.org/10.1021/acs.est.1c04995,alkane,Aliphatic hydrocarbons
1067,3-Hydroxykynurenine,10.07918125,32342-57-7,Nc1c(O)cccc1C(=O)CC(N)C(=O)O,,,https://doi.org/10.1021/acs.est.1c05637,benzene,Aromatic & PAHs
1068,3-Methoxyphenol,10.50514998,1781571-37-6,COc1cccc(O)c1,,,https://doi.org/10.1021/acs.est.1c05571,alcohol,Oxygenated organics
1069,3-Methyl-1H-indole,10.51851394,118481-31-5,Cc1c[nH]c2ccccc12,,,https://doi.org/10.1021/acs.est.1c04924,cyclo,Aromatic & PAHs
1070,3-Methylbutan-1-ol,9.579783597,1864061-18-6,CC(C)CCO,,,https://doi.org/10.1021/acs.est.1c05226,alkane,Aliphatic hydrocarbons
1071,3-Methylbutanoic acid,9.146128036,1178202-86-2,CC(C)CC(O)=O,,,https://doi.org/10.1021/acs.est.1c04504,alkane,Aliphatic hydrocarbons
1072,3-Methylpyridine,9.380211242,889944-78-9,Cc1cccnc1,,,https://doi.org/10.1021/acs.est.1c05380,cyclo,Aromatic & PAHs
1073,3-Methylpyridine-N-oxide,9.62324929,162046-68-6,Cc1ccc[n+]([O-])c1,,,https://doi.org/10.1021/acs.est.1c04624,cyclo,Aromatic & PAHs
1074,3-Methylthiophene,9.505149978,2098012-24-7,Cc1ccsc1,,,https://doi.org/10.1021/acs.est.1c05323,"sulfide, disulfide",Sulfur-containing organics
1075,3-Methyluridine,9.748188027,80541-15-7,Cn1c(=O)ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O,,,https://doi.org/10.1021/acs.est.1c05631,halogeneted,Halogenated organics
1076,3-Nitro-2-(4-nitrophenoxy)thiophene,9.113943352,33786-84-4,O=[N+]([O-])c1ccc(Oc2sccc2[N+](=O)[O-])cc1,,,https://doi.org/10.1021/acs.est.1c05293,cyclo,Aromatic & PAHs
1077,3-Nitrophenol,9.699837726,1394969-99-3,Oc1cccc(c1)[N+]([O-])=O,,,https://doi.org/10.1021/acs.est.1c04649,alcohol,Oxygenated organics
1078,3-Nitrotoluene,9.910090546,1805462-05-8,Cc1cccc([N+](=O)[O-])c1,,,https://doi.org/10.1021/acs.est.1c05022,cyclo,Aromatic & PAHs
1079,3-O-Methyl-L-ascorbic acid,10.47712125,15042-01-0,COC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,,,https://doi.org/10.1021/acs.est.1c04553,diol,Polyfunctional / highly functionalized
1080,3-O-methyl-L-ascorbate ion,9.68,187991-39-5,COC1=C([O-])C(=O)O[C@@H]1[C@@H](O)CO,7.0,25.0,NIST,diol,Polyfunctional / highly functionalized
1081,3-O-methyl-L-ascorbic acid,10.48,15042-01-0,COC1=C(O)C(=O)OC1[C@@H](O)CO,7.7,25.0,NIST,diol,Polyfunctional / highly functionalized
1082,3-POBN,9.67,20634-12-2,CC(C)(C)[N+]([O-])=Cc1ccc[n+]([O-])c1,7.0,25.0,NIST,cyclo,Aromatic & PAHs
1083,3-Pentanol,9.322219295,584-02-1,CCC(CC)O,,,https://doi.org/10.1021/acsestengg.5c00546,alkane,Aliphatic hydrocarbons
1084,3-acetamidobenzoic acid,9.73,2680788-43-4,CC(=O)Nc1cccc(C(=O)O)c1,7.0,25.0,Zhong et al.,cyclo,Aromatic & PAHs
1085,3-aminobenzoate ion,9.94,2906-33-4,Nc1cccc(C(=O)[O-])c1,7.0,25.0,NIST,cyclo,Aromatic & PAHs
1086,3-aminobutyric acid,7.97,20-79-1,CC(N)CC(=O)O,2.0,25.0,NIST,alkane,Aliphatic hydrocarbons
1087,"3-bromo-2,4-furandione",9.89,89964-71-6,O=C1COC(=O)C1Br,7.0,25.0,NIST,alcohol,Oxygenated organics
1088,"3-bromo-2,6-dioxopyrimidine-4-carboxylate ion",9.65,73-97-2,O=C([O-])c1cc(=O)[nH]c(=O)n1Br,7.0,25.0,NIST,halogeneted,Halogenated organics
1089,3-bromopropionate ion,8.36,1219803-82-3,O=C([O-])CCBr,8.5,25.0,NIST,halogeneted,Halogenated organics
1090,3-bromopyridine,9.041392685,626-55-1,C1=CC(=CN=C1)Br,,,https://doi.org/10.1021/acsestengg.5c00481,halogeneted,Halogenated organics
1091,3-bromopyridine,9.04,1241752-28-2,Brc1cccnc1,9.0,25.0,Schevchuck 1969,cyclo,Aromatic & PAHs
1092,3-bromotoluene,9.69,1219805-60-3,Cc1cccc(Br)c1,7.0,25.0,Zhong et al.,benzene,Aromatic & PAHs
1093,"3-carboxamido-2,2,5,5-tetramethyl-3-pyrrolin-1-yloxy",9.73,3229-73-0,CC1(C)C=C(C(N)=O)C(C)(C)N1O,7.0,25.0,NIST,alkane,Aliphatic hydrocarbons
1094,"3-carboxamido-2,2,5,5-tetramethylpyrrolidin-1-yloxy",9.57,1020718-52-8,CC1(C)CC(C(N)=O)C(C)(C)N1[O],7.0,25.0,NIST,alkane,Aliphatic hydrocarbons
1095,3-chloroanisole,9.97,1219804-86-0,COc1cccc(Cl)c1,7.0,25.0,Zhong et al.,alcohol,Oxygenated organics
1096,3-chlorobenzoate ion,9.72,16887-60-8,O=C([O-])c1cccc(Cl)c1,7.0,25.0,NIST,benzene,Aromatic & PAHs
1097,3-chlorobenzotrifluoride,9.3,1443348-20-6,FC(F)(F)c1cccc(Cl)c1,7.0,25.0,Zhong et al.,benzene,Aromatic & PAHs
1098,3-chlorophenol,9.86,1214728-66-1,Oc1cccc(Cl)c1,9.0,25.0,"Savel'eva et al., 1972",alcohol,Oxygenated organics
1099,3-chlorophenol,9.857332496,108-43-0,C1=CC(=CC(=C1)Cl)O,,,https://doi.org/10.1021/acsestengg.5c00412,halogeneted,Halogenated organics
1100,3-chloropropionate ion,8.51,62108-66-1,O=C([O-])CCCl,8.5,25.0,NIST,halogeneted,Halogenated organics
1101,3-chlorotoluene,9.54,25168-05-2,Cc1cccc(Cl)c1,7.0,25.0,Zhong et al.,benzene,Aromatic & PAHs
