No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
153,chlortetracycline,850000000.0,8.929418926,51209-76-8,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
154,doxycycline,1135000000.0,9.054995862,1902958-13-7,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
155,oxytetracycline,936000000.0,8.971275849,8017-33-2,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
156,tetracycline,1180000000.0,9.071882007,84187-37-1,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
157,bezafibrate,324000000.0,8.51054501,153758-85-1,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
158,clofibric acid,141000000.0,8.149219113,72072-47-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
159,gemfibrozil,287000000.0,8.457881897,86837-66-3,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
160,caffeine,928000000.0,8.967547976,78072-66-9,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
161,theophylline,878000000.0,8.943494516,28384-81-8,CN1C2=C(C(=O)N(C1=O)C)NC=N2,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
162,xanthine,185000000.0,8.267171728,69-89-6,C1=NC2=C(N1)C(=O)NC(=O)N2,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
163,cimetidine,2778000000.0,9.443732241,38603-74-6,CC1=C(N=CN1)CSCCNC(=NC)NC#N,7.0,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics
164,famotidine,1652000000.0,9.218010043,1798006-30-0,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,7.0,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics
165,carbamazepine,43000000.0,7.633468456,1189902-21-3,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
166,clenbuterol,554000000.0,8.743509765,37159-31-2,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
167,iopromide,2054000000.0,9.312600439,185459-57-8,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
168,mabuterol,348000000.0,8.541579244,56707-26-7,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)C(F)(F)F)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
169,mesalazine,1424000000.0,9.153509989,121887-11-4,C1=CC(=C(C=C1N)C(=O)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
