No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
51,Amoxicillin,,8.6232,2088960-43-2,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,,,https://doi.org/10.1016/j.chemosphere.2023.138808,alkane,Aliphatic hydrocarbons
52,Ciprofloxacin,,8.3404,93398-92-6,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138809,cyclo,Aromatic & PAHs
53,Flumequine,,7.9731,42835-68-7,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138810,cyclo,Aromatic & PAHs
54,Sulfanilamide,,8.6355,130249-47-7,C1=CC(=CC=C1N)S(=O)(=O)N,,,https://doi.org/10.1016/j.chemosphere.2023.138811,"sulfide, disulfide",Sulfur-containing organics
55,Sulfadimethoxine,,8.6493,345936-70-1,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138812,diol,Polyfunctional / highly functionalized
56,Sulfadiazine,,8.6304,1219149-66-2,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,,,https://doi.org/10.1016/j.chemosphere.2023.138813,"sulfide, disulfide",Sulfur-containing organics
57,Sulfamethazine,,8.6857,53081-02-0,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,,,https://doi.org/10.1016/j.chemosphere.2023.138814,"sulfide, disulfide",Sulfur-containing organics
58,Sulfamethoxazole,,8.6739,1346603-52-8,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,,,https://doi.org/10.1016/j.chemosphere.2023.138815,"sulfide, disulfide",Sulfur-containing organics
59,Sulfathiazole,,8.7059,1020719-89-4,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,,,https://doi.org/10.1016/j.chemosphere.2023.138816,"sulfide, disulfide",Sulfur-containing organics
60,Carbamazepine,,7.6335,1189902-21-3,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,,,https://doi.org/10.1016/j.chemosphere.2023.138817,cyclo,Aromatic & PAHs
61,Clenbuterol,,8.7435,37159-31-2,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,,,https://doi.org/10.1016/j.chemosphere.2023.138818,alkane,Aliphatic hydrocarbons
62,Mabuterol,,8.5416,56707-26-7,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)C(F)(F)F)O,,,https://doi.org/10.1016/j.chemosphere.2023.138819,alkane,Aliphatic hydrocarbons
63,Mesalazine,,9.1535,121887-11-4,C1=CC(=C(C=C1N)C(=O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138820,halogeneted,Halogenated organics
64,Primidone,,8.1987,125-33-7,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,,,https://doi.org/10.1016/j.chemosphere.2023.138821,cyclo,Aromatic & PAHs
65,4-Chloroaniline,,8.7185,108321-68-2,C1=CC(=CC=C1N)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138822,halogeneted,Halogenated organics
66,Aniline,,8.8319,179938-55-7,C1=CC=C(C=C1)N,,,https://doi.org/10.1016/j.chemosphere.2023.138823,halogeneted,Halogenated organics
67,p-Toluidine,,8.9763,40825-60-3,CC1=CC=C(C=C1)N,,,https://doi.org/10.1016/j.chemosphere.2023.138824,alkane,Aliphatic hydrocarbons
68,Acetanilide,,7.301,1449-75-8,CC(=O)NC1=CC=CC=C1,,,https://doi.org/10.1016/j.chemosphere.2023.138825,cyclo,Aromatic & PAHs
69,4-Aminobenzoate ion,,9.0414,2906-33-4,C1=CC(=CC=C1C(=O)[O-])N,,,https://doi.org/10.1016/j.chemosphere.2023.138826,halogeneted,Halogenated organics
70,4-Amionpbenzoic,,7.3424,1797008-46-8,O=C(C1=CC=C(N2CCC(C3=CC=C(Cl)C=C3)(O)CC2)C=C1)CCCN(CC4)CCC4(C5=CC=C(Cl)C=C5)OC(CCCCCCCCC)=O,,,https://doi.org/10.1016/j.chemosphere.2023.138827,diol,Polyfunctional / highly functionalized
71,Anilinum ion,,7.0792,14609-76-8,[NH3+]c1ccccc1,,,https://doi.org/10.1016/j.chemosphere.2023.138828,benzene,Aromatic & PAHs
72,4-Cyanobenzoate ion,,6.699,619-65-8,N#Cc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138829,halogeneted,Halogenated organics
73,4-Cyanophenol,,7.6021,1025089-21-7,C1=CC(=CC=C1C#N)O,,,https://doi.org/10.1016/j.chemosphere.2023.138830,halogeneted,Halogenated organics
74,4-Cyanophenol,,7.6021,1025089-21-7,C1=CC(=CC=C1C#N)O,,,https://doi.org/10.1016/j.chemosphere.2023.138831,halogeneted,Halogenated organics
75,Hydroquinone,,9.0,56924-48-2,C1=CC(=CC=C1O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138832,halogeneted,Halogenated organics
76,4-Hydroxybenzoate ion,,6.4472,456-23-5,C1=CC(=CC=C1C(=O)O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138833,halogeneted,Halogenated organics
77,4-Hydroxybenzoic acid,,8.1139,73486-75-6,C1=CC(=CC=C1C(=O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138834,halogeneted,Halogenated organics
78,4-Hydroxycinnamic acid,,8.4624,1379415-40-3,C1=CC(=CC=C1/C=C/C(=O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138835,halogeneted,Halogenated organics
79,4-Methyoxyphenol,,9.0414,150-76-5,COc1ccc(O)cc1,,,https://doi.org/10.1016/j.chemosphere.2023.138836,alcohol,Oxygenated organics
80,Phenol,,8.3979,53379-77-4,C1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.chemosphere.2023.138837,halogeneted,Halogenated organics
81,Salicylic acid,,8.0414,1189678-81-6,C1=CC=C(C(=C1)C(=O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138838,halogeneted,Halogenated organics
82,Paracetamol,,8.6355,58357-81-6,CC(=O)NC1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.chemosphere.2023.138839,alkane,Aliphatic hydrocarbons
83,Amoxicillin,,8.6233,2088960-43-2,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,,,https://doi.org/10.1016/j.chemosphere.2023.138840,alkane,Aliphatic hydrocarbons
84,Oxytetracycline,,8.9713,8017-33-2,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138841,diol,Polyfunctional / highly functionalized
85,Chlortetracycline,,8.9294,51209-76-8,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,,,https://doi.org/10.1016/j.chemosphere.2023.138842,diol,Polyfunctional / highly functionalized
86,Tetracycline,,9.0719,84187-37-1,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,,,https://doi.org/10.1016/j.chemosphere.2023.138843,diol,Polyfunctional / highly functionalized
87,Triclosan,,8.3945,1020720-00-6,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138844,alcohol,Oxygenated organics
88,Terbutaline,,9.081,28924-20-1,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138845,diol,Polyfunctional / highly functionalized
89,Mesalazine,,9.1535,121887-11-4,C1=CC(=C(C=C1N)C(=O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138846,halogeneted,Halogenated organics
90,Salbutamol,,8.48,238762-34-0,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,,,https://doi.org/10.1016/j.chemosphere.2023.138847,diol,Polyfunctional / highly functionalized
91,Estrone,,8.5635,53-16-7,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,,,https://doi.org/10.1016/j.chemosphere.2023.138848,halogeneted,Halogenated organics
92,Estradiol,,8.5977,350818-73-4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,,https://doi.org/10.1016/j.chemosphere.2023.138849,halogeneted,Halogenated organics
93,Ethinyl estradiol,,8.5977,170475-05-5,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,,,https://doi.org/10.1016/j.chemosphere.2023.138850,halogeneted,Halogenated organics
94,Bisphenol A,,8.7649,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,,,https://doi.org/10.1016/j.chemosphere.2023.138851,alkane,Aliphatic hydrocarbons
95,Methylparaben,,8.2068,222545-59-7,COC(=O)C1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.chemosphere.2023.138852,alcohol,Oxygenated organics
96,Nonylphenol,,8.5623,84852-15-3,CCCCCCCCCC1=CC=CC=C1O,,,https://doi.org/10.1016/j.chemosphere.2023.138853,cyclo,Aromatic & PAHs
97,4-Methylcatechol,,9.0734,1219803-18-5,CC1=CC(=C(C=C1)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138854,alkane,Aliphatic hydrocarbons
98,Pyrocatechol,,8.7528,3117-41-7,C1=CC=C(C(=C1)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138855,halogeneted,Halogenated organics
99,Protocatechuic acid,,8.7709,868827-97-8,C1=CC(=C(C=C1C(=O)O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138856,diol,Polyfunctional / highly functionalized
100,Gallic acid,,8.8768,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138857,diol,Polyfunctional / highly functionalized
101,4-Methyoxybenzoate ion,,8.301,100-09-4,COc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138858,alcohol,Oxygenated organics
102,4-Methyoxyphenol,,9.0414,150-76-5,COc1ccc(O)cc1,,,https://doi.org/10.1016/j.chemosphere.2023.138859,alcohol,Oxygenated organics
103,4-Phenoxybenzoate ion,,8.1761,1346567-64-3,O=C(OCC1=CC=CC=C1)C2=CC=C(NC(C)C)C(OC3=CC=CC=C3)=C2,,,https://doi.org/10.1016/j.chemosphere.2023.138860,cyclo,Aromatic & PAHs
104,Aspirin,,7.3617,69453-66-3,CC(=O)OC1=CC=CC=C1C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138861,alcohol,Oxygenated organics
105,Indomethacin,,8.6981,5354-81-4,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138862,alcohol,Oxygenated organics
106,Atenolol,,8.6138,1202864-50-3,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,,,https://doi.org/10.1016/j.chemosphere.2023.138863,alkane,Aliphatic hydrocarbons
107,Metoprolol,,8.705,959786-79-9,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,,,https://doi.org/10.1016/j.chemosphere.2023.138864,alcohol,Oxygenated organics
108,Propranolol,,9.2507,127202-03-3,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,,,https://doi.org/10.1016/j.chemosphere.2023.138865,alkane,Aliphatic hydrocarbons
109,Gemfibrozil,,8.4579,86837-66-3,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138866,alcohol,Oxygenated organics
110,Trimethoprim,,9.2737,304671-81-6,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,,,https://doi.org/10.1016/j.chemosphere.2023.138867,diol,Polyfunctional / highly functionalized
111,Venlafaxine,,8.5539,940297-06-3,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,,,https://doi.org/10.1016/j.chemosphere.2023.138868,alcohol,Oxygenated organics
112,Dimethyl phthalate,,7.1461,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138869,diol,Polyfunctional / highly functionalized
113,Diethyl phthalate,,7.0414,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,,,https://doi.org/10.1016/j.chemosphere.2023.138870,diol,Polyfunctional / highly functionalized
114,Dibutyl phthalate,,7.0414,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,,,https://doi.org/10.1016/j.chemosphere.2023.138871,diol,Polyfunctional / highly functionalized
115,4-Nitroanisole,,7.3979,1805556-65-3,COC1=CC=C(C=C1)[N+](=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138872,alcohol,Oxygenated organics
116,Anisole,,8.2095,342-33-6,COC1=CC=CC=C1,,,https://doi.org/10.1016/j.chemosphere.2023.138873,alcohol,Oxygenated organics
117,"1,3,5-Trimethoxybenzene",,9.416,79173-14-1,COC1=CC(=CC(=C1)OC)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138874,diol,Polyfunctional / highly functionalized
118,Bezafibrate,,8.5105,153758-85-1,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138875,alcohol,Oxygenated organics
119,Clofibric acid,,8.1492,72072-47-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138876,alcohol,Oxygenated organics
120,acetaminophen,432000000.0,8.635483747,462631-86-3,CC(=O)NC1=CC=C(C=C1)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
121,aspirin,23000000.0,7.361727836,69453-66-3,CC(=O)OC1=CC=CC=C1C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
122,diclofenac,1154000000.0,9.062205809,146607-19-4,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
123,ibuprofen,5000000.0,6.698970004,462631-86-3,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
124,indomethacin,499000000.0,8.698100546,5354-81-4,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
125,naproxen,657000000.0,8.81756537,119166-66-4,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
126,atenolol,411000000.0,8.613841822,1202864-50-3,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
127,metoprolol,507000000.0,8.705007959,959786-79-9,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
128,propranolol,1781000000.0,9.250663919,127202-03-3,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
129,amoxicillin,420000000.0,8.62324929,2088960-43-2,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
130,cefotaxime,491000000.0,8.691081492,65715-12-0,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics
